Run_Name,LR,Num_Layers,p,Weight_Decay,Best_Val_Loss,Epochs_Trained
model_lr0.1_nl4_p64_wd0.0001,0.1,4,64,0.0001,inf,1
model_lr0.1_nl4_p64_wd1e-05,0.1,4,64,1e-05,inf,1
model_lr0.1_nl5_p8_wd0.0,0.1,5,8,0.0,0.000946791609749198,60
model_lr0.1_nl5_p8_wd0.0001,0.1,5,8,0.0001,0.01590406522154808,32
model_lr0.1_nl5_p8_wd1e-05,0.1,5,8,1e-05,0.0005671011167578399,35
model_lr0.1_nl5_p16_wd0.0,0.1,5,16,0.0,0.008817115798592567,49
model_lr0.1_nl5_p16_wd0.0001,0.1,5,16,0.0001,0.008342019282281399,49
model_lr0.1_nl5_p16_wd1e-05,0.1,5,16,1e-05,0.007352821994572878,58
model_lr0.1_nl5_p32_wd0.0,0.1,5,32,0.0,0.013517986983060837,58
model_lr0.1_nl5_p32_wd0.0001,0.1,5,32,0.0001,0.013335955329239368,55
model_lr0.1_nl5_p32_wd1e-05,0.1,5,32,1e-05,0.012630493380129337,66
model_lr0.1_nl5_p64_wd0.0,0.1,5,64,0.0,0.015901654958724976,150
model_lr0.1_nl5_p64_wd0.0001,0.1,5,64,0.0001,0.0160048957914114,29
model_lr0.1_nl5_p64_wd1e-05,0.1,5,64,1e-05,0.018879607319831848,21
model_lr0.001_nl2_p8_wd0.0,0.001,2,8,0.0,0.00035473471507430077,391
model_lr0.001_nl2_p8_wd0.0001,0.001,2,8,0.0001,0.0005016534705646336,968
model_lr0.001_nl2_p8_wd1e-05,0.001,2,8,1e-05,0.00022235902724787593,999
model_lr0.001_nl2_p16_wd0.0,0.001,2,16,0.0,9.691824379842728e-05,585
model_lr0.001_nl2_p16_wd0.0001,0.001,2,16,0.0001,0.0005429770681075752,268
model_lr0.001_nl2_p16_wd1e-05,0.001,2,16,1e-05,0.00015343046106863767,945
model_lr0.001_nl2_p32_wd0.0,0.001,2,32,0.0,5.607178172795102e-05,291
model_lr0.001_nl2_p32_wd0.0001,0.001,2,32,0.0001,0.0004545416450127959,870
model_lr0.001_nl2_p32_wd1e-05,0.001,2,32,1e-05,0.00013016819139011204,983
model_lr0.001_nl2_p64_wd0.0,0.001,2,64,0.0,2.926779598055873e-05,498
model_lr0.001_nl2_p64_wd0.0001,0.001,2,64,0.0001,0.00038230771315284073,533
model_lr0.001_nl3_p8_wd0.0,0.001,3,8,0.0,0.00031159192440100014,261
model_lr0.001_nl3_p16_wd0.0,0.001,3,16,0.0,9.446055628359318e-05,379
model_lr0.001_nl3_p32_wd0.0,0.001,3,32,0.0,9.039462747750804e-05,257
model_lr0.001_nl3_p64_wd0.0,0.001,3,64,0.0,9.107359801419079e-05,213
model_lr0.001_nl4_p8_wd0.0,0.001,4,8,0.0,0.00044511642772704363,232
model_lr0.001_nl4_p16_wd0.0,0.001,4,16,0.0,0.00011175678082508966,366
model_lr0.001_nl4_p32_wd0.0,0.001,4,32,0.0,8.860002708388492e-05,303
